intermediate_percentage,entry_test_score,field,city_tier,suggested_program,university_tier
94.12,92.35,Pre-Engineering,Rural,Engineering,Top Public University
69.55,73.13,Commerce,Urban,Social Sciences,Mid-Tier Public University
62.43,55.16,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
45.3,59.57,Computer Science,Metro,Social Sciences,Private University
39.11,35.32,Commerce,Metro,Social Sciences,Private University
80.24,80.34,Pre-Engineering,Urban,Engineering,Top Public University
58.88,71.7,Pre-Medical,Rural,Social Sciences,Top Public University
56.47,59.09,Commerce,Urban,Business Administration,Private University
81.86,79.98,Pre-Engineering,Urban,Engineering,Top Public University
76.03,88.34,Pre-Engineering,Metro,Engineering,Top Public University
67.69,76.02,Computer Science,Urban,Computer Science,Mid-Tier Public University
43.74,40.6,Computer Science,Urban,Business Administration,Private University
36.43,55.58,Arts/Humanities,Metro,Social Sciences,Private University
80.08,74.25,Pre-Medical,Metro,Medicine (MBBS),Top Public University
65.17,83.04,Pre-Engineering,Rural,Computer Science,Top Public University
61.91,75.62,Pre-Medical,Metro,Computer Science,Mid-Tier Public University
94.71,96.66,Commerce,Rural,Business Administration,Top Public University
59.54,56.87,Commerce,Urban,Business Administration,Private University
71.31,80.32,Pre-Engineering,Rural,Social Sciences,Mid-Tier Public University
98.34,75.45,Computer Science,Urban,Computer Science,Mid-Tier Public University
75.15,58.93,Commerce,Metro,Business Administration,Private University
57.63,73.71,Arts/Humanities,Metro,Medicine (MBBS),Mid-Tier Public University
53.23,45.82,Commerce,Urban,Computer Science,Top Public University
84.27,91.73,Computer Science,Metro,Computer Science,Top Public University
47.33,57.74,Pre-Engineering,Rural,Engineering,Private University
78.56,68.77,Computer Science,Urban,Computer Science,Mid-Tier Public University
90.39,100.0,Commerce,Urban,Business Administration,Top Public University
64.56,48.51,Arts/Humanities,Urban,Computer Science,Private University
78.49,77.94,Computer Science,Rural,Computer Science,Top Public University
67.15,65.29,Computer Science,Urban,Business Administration,Top Public University
87.46,62.67,Computer Science,Rural,Computer Science,Mid-Tier Public University
70.25,85.17,Commerce,Rural,Social Sciences,Private University
55.57,37.42,Pre-Medical,Rural,Engineering,Private University
71.54,57.19,Pre-Engineering,Rural,Social Sciences,Private University
68.37,77.73,Commerce,Urban,Business Administration,Top Public University
56.87,41.5,Commerce,Rural,Business Administration,Private University
62.58,64.35,Commerce,Rural,Social Sciences,Private University
47.98,41.07,Computer Science,Metro,Computer Science,Private University
53.49,46.33,Pre-Engineering,Rural,Business Administration,Mid-Tier Public University
75.84,63.65,Computer Science,Rural,Computer Science,Top Public University
38.31,32.23,Arts/Humanities,Metro,Social Sciences,Private University
70.33,69.51,Pre-Medical,Urban,Social Sciences,Top Public University
66.34,69.89,Computer Science,Urban,Business Administration,Private University
57.26,46.92,Commerce,Rural,Business Administration,Top Public University
87.34,98.01,Arts/Humanities,Urban,Social Sciences,Top Public University
76.56,75.03,Computer Science,Urban,Computer Science,Top Public University
57.19,64.54,Pre-Engineering,Metro,Computer Science,Private University
69.2,60.97,Arts/Humanities,Urban,Business Administration,Private University
79.96,63.83,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
42.43,71.33,Computer Science,Metro,Computer Science,Private University
69.39,61.14,Pre-Engineering,Metro,Engineering,Private University
62.42,79.75,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
72.09,80.03,Computer Science,Metro,Engineering,Mid-Tier Public University
97.92,97.07,Computer Science,Rural,Computer Science,Top Public University
56.33,50.36,Computer Science,Rural,Social Sciences,Top Public University
61.0,55.39,Commerce,Rural,Business Administration,Mid-Tier Public University
48.06,61.65,Computer Science,Rural,Computer Science,Top Public University
69.43,61.08,Pre-Medical,Urban,Computer Science,Mid-Tier Public University
75.49,82.12,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
33.0,28.79,Pre-Engineering,Urban,Engineering,Private University
88.3,84.18,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
90.22,84.34,Arts/Humanities,Urban,Social Sciences,Top Public University
33.0,18.81,Commerce,Urban,Computer Science,Private University
43.32,52.51,Arts/Humanities,Metro,Engineering,Mid-Tier Public University
73.3,85.07,Pre-Engineering,Metro,Business Administration,Mid-Tier Public University
67.6,74.69,Commerce,Rural,Computer Science,Mid-Tier Public University
83.92,73.34,Commerce,Metro,Business Administration,Mid-Tier Public University
61.99,54.09,Commerce,Urban,Computer Science,Private University
85.78,76.19,Commerce,Metro,Business Administration,Top Public University
45.72,54.98,Commerce,Metro,Social Sciences,Private University
72.61,66.97,Arts/Humanities,Rural,Computer Science,Mid-Tier Public University
59.86,52.83,Commerce,Urban,Engineering,Mid-Tier Public University
59.33,61.93,Computer Science,Metro,Business Administration,Private University
39.72,42.61,Commerce,Metro,Business Administration,Mid-Tier Public University
60.3,60.82,Commerce,Rural,Social Sciences,Private University
87.18,95.2,Pre-Medical,Urban,Medicine (MBBS),Top Public University
56.7,45.46,Commerce,Urban,Business Administration,Private University
63.01,81.07,Computer Science,Urban,Social Sciences,Top Public University
68.51,61.58,Computer Science,Urban,Social Sciences,Private University
51.93,40.22,Computer Science,Rural,Social Sciences,Private University
70.55,84.93,Computer Science,Urban,Social Sciences,Mid-Tier Public University
75.02,62.37,Pre-Engineering,Metro,Engineering,Private University
62.98,62.66,Commerce,Rural,Social Sciences,Private University
38.56,26.55,Computer Science,Rural,Computer Science,Private University
89.7,100.0,Commerce,Urban,Business Administration,Top Public University
67.4,72.77,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
66.33,82.56,Commerce,Metro,Business Administration,Top Public University
63.47,62.11,Commerce,Metro,Computer Science,Mid-Tier Public University
57.75,41.5,Pre-Medical,Urban,Computer Science,Mid-Tier Public University
41.58,63.17,Computer Science,Urban,Computer Science,Private University
65.94,83.76,Pre-Engineering,Rural,Computer Science,Private University
68.95,68.15,Pre-Engineering,Urban,Social Sciences,Top Public University
81.59,85.51,Commerce,Rural,Business Administration,Top Public University
91.35,87.11,Commerce,Rural,Business Administration,Mid-Tier Public University
55.74,35.88,Computer Science,Urban,Business Administration,Private University
90.99,84.45,Pre-Medical,Rural,Medicine (MBBS),Top Public University
68.03,51.77,Pre-Engineering,Metro,Computer Science,Private University
75.57,75.9,Computer Science,Metro,Computer Science,Mid-Tier Public University
51.39,50.15,Arts/Humanities,Urban,Computer Science,Private University
71.97,80.94,Arts/Humanities,Rural,Social Sciences,Top Public University
52.57,73.91,Arts/Humanities,Metro,Computer Science,Private University
76.93,86.52,Computer Science,Urban,Computer Science,Private University
47.89,44.36,Pre-Engineering,Urban,Medicine (MBBS),Private University
67.38,58.85,Commerce,Urban,Computer Science,Private University
60.45,77.45,Arts/Humanities,Rural,Computer Science,Mid-Tier Public University
72.16,38.98,Commerce,Urban,Computer Science,Mid-Tier Public University
70.63,46.33,Arts/Humanities,Urban,Computer Science,Private University
69.24,45.83,Commerce,Metro,Social Sciences,Mid-Tier Public University
59.25,78.01,Computer Science,Rural,Business Administration,Top Public University
79.91,53.92,Pre-Engineering,Urban,Engineering,Private University
75.51,74.14,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
55.13,71.57,Pre-Medical,Rural,Computer Science,Top Public University
78.21,76.73,Pre-Medical,Urban,Medicine (MBBS),Top Public University
57.24,32.34,Pre-Medical,Metro,Computer Science,Top Public University
68.3,68.48,Pre-Engineering,Urban,Social Sciences,Private University
65.54,63.25,Computer Science,Rural,Social Sciences,Private University
65.61,69.89,Pre-Engineering,Metro,Business Administration,Top Public University
79.04,69.12,Computer Science,Urban,Computer Science,Private University
39.87,33.66,Commerce,Metro,Medicine (MBBS),Private University
86.28,97.3,Commerce,Rural,Business Administration,Top Public University
40.4,39.69,Arts/Humanities,Urban,Business Administration,Private University
85.88,75.59,Pre-Engineering,Metro,Engineering,Top Public University
75.7,79.92,Commerce,Rural,Business Administration,Mid-Tier Public University
44.77,53.0,Commerce,Rural,Social Sciences,Private University
72.66,85.88,Computer Science,Urban,Engineering,Mid-Tier Public University
62.53,79.19,Pre-Medical,Urban,Social Sciences,Top Public University
49.49,31.66,Arts/Humanities,Urban,Computer Science,Private University
85.66,87.85,Computer Science,Urban,Computer Science,Top Public University
84.33,66.66,Commerce,Urban,Business Administration,Mid-Tier Public University
73.24,73.43,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
92.91,100.0,Arts/Humanities,Rural,Social Sciences,Top Public University
69.84,72.73,Computer Science,Metro,Business Administration,Mid-Tier Public University
63.43,65.72,Arts/Humanities,Metro,Engineering,Private University
87.52,77.3,Pre-Engineering,Urban,Engineering,Top Public University
56.48,51.33,Computer Science,Urban,Computer Science,Private University
79.8,86.0,Computer Science,Metro,Computer Science,Top Public University
84.61,94.2,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
71.14,75.22,Pre-Medical,Rural,Computer Science,Mid-Tier Public University
69.41,96.76,Commerce,Urban,Computer Science,Private University
75.17,54.81,Commerce,Metro,Business Administration,Mid-Tier Public University
71.57,81.58,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
57.32,36.46,Commerce,Rural,Business Administration,Private University
33.0,46.5,Computer Science,Urban,Social Sciences,Private University
60.12,60.69,Computer Science,Urban,Business Administration,Private University
45.7,33.74,Commerce,Metro,Business Administration,Mid-Tier Public University
82.7,80.49,Pre-Medical,Urban,Medicine (MBBS),Private University
61.0,50.81,Commerce,Rural,Engineering,Private University
71.55,75.44,Arts/Humanities,Rural,Business Administration,Mid-Tier Public University
79.34,58.74,Arts/Humanities,Urban,Social Sciences,Top Public University
83.49,93.16,Pre-Engineering,Metro,Engineering,Private University
53.86,61.82,Arts/Humanities,Metro,Social Sciences,Private University
100.0,96.49,Arts/Humanities,Urban,Social Sciences,Top Public University
81.92,82.49,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
77.74,90.67,Commerce,Rural,Business Administration,Top Public University
54.15,72.85,Pre-Engineering,Urban,Social Sciences,Private University
98.62,100.0,Commerce,Urban,Business Administration,Top Public University
78.0,83.23,Computer Science,Metro,Computer Science,Mid-Tier Public University
84.98,61.95,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
63.47,52.14,Commerce,Rural,Social Sciences,Mid-Tier Public University
96.88,97.55,Computer Science,Metro,Computer Science,Top Public University
90.41,84.46,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
66.45,51.38,Computer Science,Urban,Social Sciences,Mid-Tier Public University
98.3,97.47,Computer Science,Metro,Computer Science,Top Public University
51.91,69.22,Commerce,Metro,Business Administration,Mid-Tier Public University
81.2,96.08,Commerce,Metro,Business Administration,Top Public University
77.75,53.6,Commerce,Metro,Business Administration,Mid-Tier Public University
78.35,80.44,Arts/Humanities,Metro,Social Sciences,Top Public University
57.08,47.14,Commerce,Rural,Social Sciences,Private University
62.17,72.36,Commerce,Urban,Business Administration,Mid-Tier Public University
82.21,77.5,Commerce,Metro,Business Administration,Top Public University
83.73,84.55,Pre-Medical,Rural,Medicine (MBBS),Top Public University
66.63,70.2,Pre-Medical,Metro,Social Sciences,Top Public University
63.39,55.98,Pre-Engineering,Urban,Social Sciences,Private University
59.4,41.11,Commerce,Metro,Social Sciences,Mid-Tier Public University
87.51,66.19,Arts/Humanities,Metro,Social Sciences,Top Public University
64.85,71.59,Computer Science,Rural,Computer Science,Top Public University
58.72,49.79,Commerce,Rural,Engineering,Private University
38.05,33.56,Computer Science,Metro,Business Administration,Mid-Tier Public University
39.73,48.2,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
49.62,51.55,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
35.63,48.44,Computer Science,Rural,Engineering,Mid-Tier Public University
60.23,47.1,Computer Science,Urban,Engineering,Private University
61.73,79.43,Commerce,Rural,Engineering,Private University
51.06,55.57,Pre-Engineering,Urban,Computer Science,Private University
59.74,68.38,Commerce,Urban,Business Administration,Mid-Tier Public University
64.73,93.81,Pre-Engineering,Rural,Computer Science,Mid-Tier Public University
39.26,47.47,Arts/Humanities,Rural,Business Administration,Mid-Tier Public University
76.8,76.32,Computer Science,Metro,Computer Science,Top Public University
33.0,39.13,Pre-Engineering,Urban,Business Administration,Private University
95.65,99.73,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
43.58,50.72,Pre-Engineering,Metro,Social Sciences,Private University
66.42,63.2,Pre-Medical,Urban,Social Sciences,Private University
60.5,69.31,Pre-Engineering,Metro,Business Administration,Top Public University
71.67,89.62,Computer Science,Urban,Engineering,Top Public University
54.48,43.58,Pre-Medical,Rural,Business Administration,Private University
74.11,83.87,Pre-Medical,Urban,Medicine (MBBS),Top Public University
42.08,40.67,Computer Science,Rural,Social Sciences,Private University
77.5,87.12,Pre-Medical,Metro,Medicine (MBBS),Top Public University
61.6,58.45,Pre-Engineering,Metro,Social Sciences,Private University
71.66,90.17,Commerce,Metro,Computer Science,Mid-Tier Public University
81.46,87.1,Arts/Humanities,Rural,Social Sciences,Top Public University
47.82,43.17,Pre-Engineering,Metro,Business Administration,Private University
56.9,53.18,Pre-Engineering,Urban,Business Administration,Private University
54.47,55.87,Commerce,Metro,Engineering,Private University
64.42,76.55,Commerce,Urban,Social Sciences,Private University
68.42,76.24,Computer Science,Urban,Computer Science,Mid-Tier Public University
76.92,95.74,Commerce,Rural,Business Administration,Top Public University
69.21,66.74,Pre-Engineering,Metro,Computer Science,Mid-Tier Public University
63.51,63.37,Arts/Humanities,Metro,Medicine (MBBS),Top Public University
74.18,81.77,Commerce,Rural,Business Administration,Mid-Tier Public University
81.57,100.0,Pre-Engineering,Rural,Engineering,Top Public University
80.63,82.84,Pre-Engineering,Rural,Engineering,Top Public University
97.8,100.0,Pre-Engineering,Rural,Engineering,Top Public University
56.37,73.47,Commerce,Urban,Business Administration,Mid-Tier Public University
69.48,51.76,Computer Science,Metro,Business Administration,Private University
45.58,42.32,Arts/Humanities,Rural,Social Sciences,Private University
55.49,60.12,Arts/Humanities,Rural,Medicine (MBBS),Private University
75.38,75.78,Computer Science,Urban,Computer Science,Mid-Tier Public University
85.07,95.27,Commerce,Urban,Business Administration,Top Public University
58.5,67.24,Arts/Humanities,Urban,Business Administration,Private University
73.1,60.3,Pre-Medical,Metro,Social Sciences,Top Public University
67.22,56.27,Pre-Medical,Metro,Engineering,Mid-Tier Public University
73.75,65.1,Computer Science,Rural,Engineering,Top Public University
69.35,29.24,Pre-Engineering,Rural,Business Administration,Mid-Tier Public University
58.8,34.39,Commerce,Urban,Social Sciences,Private University
33.0,32.18,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
43.29,37.5,Arts/Humanities,Metro,Computer Science,Private University
71.85,52.0,Computer Science,Urban,Computer Science,Private University
64.71,56.53,Computer Science,Urban,Business Administration,Mid-Tier Public University
97.59,93.57,Arts/Humanities,Metro,Social Sciences,Top Public University
66.75,59.26,Computer Science,Rural,Computer Science,Private University
79.9,93.7,Pre-Medical,Metro,Medicine (MBBS),Top Public University
48.14,46.92,Arts/Humanities,Rural,Business Administration,Private University
44.91,15.46,Commerce,Metro,Engineering,Private University
69.09,77.82,Computer Science,Rural,Business Administration,Private University
91.38,100.0,Computer Science,Metro,Computer Science,Top Public University
72.19,91.08,Arts/Humanities,Rural,Computer Science,Mid-Tier Public University
61.25,68.01,Pre-Engineering,Metro,Business Administration,Private University
72.2,73.36,Pre-Medical,Urban,Business Administration,Mid-Tier Public University
75.41,92.69,Commerce,Metro,Business Administration,Private University
72.87,80.26,Computer Science,Metro,Social Sciences,Mid-Tier Public University
66.42,64.58,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
50.08,57.41,Arts/Humanities,Metro,Business Administration,Mid-Tier Public University
48.81,38.92,Arts/Humanities,Rural,Business Administration,Private University
58.26,62.54,Commerce,Urban,Social Sciences,Mid-Tier Public University
64.08,46.17,Computer Science,Urban,Social Sciences,Mid-Tier Public University
46.17,46.68,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
90.16,100.0,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
75.08,65.59,Commerce,Metro,Business Administration,Private University
58.07,51.87,Commerce,Urban,Computer Science,Private University
77.6,74.45,Commerce,Urban,Business Administration,Mid-Tier Public University
100.0,100.0,Pre-Engineering,Rural,Engineering,Top Public University
69.77,53.13,Arts/Humanities,Urban,Business Administration,Private University
69.45,57.94,Commerce,Metro,Social Sciences,Mid-Tier Public University
81.63,75.59,Commerce,Urban,Business Administration,Mid-Tier Public University
45.59,37.79,Commerce,Rural,Computer Science,Private University
57.55,39.23,Commerce,Metro,Computer Science,Mid-Tier Public University
54.5,65.34,Pre-Medical,Urban,Social Sciences,Private University
77.7,87.99,Arts/Humanities,Rural,Social Sciences,Top Public University
40.68,59.9,Commerce,Urban,Social Sciences,Private University
70.97,74.48,Pre-Engineering,Metro,Computer Science,Private University
58.81,46.17,Arts/Humanities,Rural,Engineering,Top Public University
61.79,46.86,Arts/Humanities,Rural,Computer Science,Mid-Tier Public University
57.68,48.24,Commerce,Urban,Medicine (MBBS),Private University
88.25,67.38,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
53.09,44.78,Computer Science,Metro,Computer Science,Private University
48.08,54.07,Commerce,Rural,Social Sciences,Top Public University
70.74,69.91,Arts/Humanities,Rural,Business Administration,Top Public University
57.34,53.22,Commerce,Metro,Business Administration,Private University
73.76,64.84,Commerce,Metro,Computer Science,Mid-Tier Public University
65.18,81.73,Commerce,Metro,Computer Science,Mid-Tier Public University
66.59,67.63,Commerce,Rural,Social Sciences,Top Public University
66.86,75.35,Computer Science,Rural,Computer Science,Mid-Tier Public University
40.51,80.67,Pre-Medical,Urban,Computer Science,Mid-Tier Public University
35.59,28.18,Computer Science,Urban,Computer Science,Private University
96.33,100.0,Arts/Humanities,Urban,Social Sciences,Top Public University
48.31,58.84,Commerce,Rural,Social Sciences,Mid-Tier Public University
73.82,67.3,Computer Science,Metro,Computer Science,Mid-Tier Public University
49.05,50.88,Pre-Engineering,Rural,Engineering,Private University
64.62,59.24,Pre-Engineering,Metro,Business Administration,Private University
61.96,54.51,Commerce,Metro,Social Sciences,Private University
87.82,100.0,Arts/Humanities,Metro,Social Sciences,Top Public University
62.85,58.37,Commerce,Metro,Engineering,Private University
42.8,17.95,Commerce,Metro,Business Administration,Private University
44.52,62.06,Arts/Humanities,Metro,Engineering,Private University
70.48,75.38,Arts/Humanities,Rural,Computer Science,Mid-Tier Public University
79.06,69.52,Pre-Medical,Rural,Medicine (MBBS),Mid-Tier Public University
96.22,91.21,Pre-Engineering,Urban,Engineering,Top Public University
97.99,100.0,Arts/Humanities,Urban,Social Sciences,Top Public University
44.56,39.65,Commerce,Rural,Engineering,Mid-Tier Public University
64.17,66.84,Pre-Medical,Urban,Social Sciences,Top Public University
47.56,62.28,Commerce,Urban,Social Sciences,Private University
70.15,71.26,Computer Science,Metro,Computer Science,Mid-Tier Public University
78.04,84.53,Pre-Engineering,Rural,Engineering,Private University
38.39,42.73,Computer Science,Rural,Business Administration,Private University
78.83,80.9,Arts/Humanities,Urban,Social Sciences,Private University
76.81,66.43,Commerce,Metro,Business Administration,Mid-Tier Public University
62.12,76.44,Arts/Humanities,Metro,Computer Science,Mid-Tier Public University
56.91,48.36,Computer Science,Urban,Business Administration,Mid-Tier Public University
90.95,92.12,Commerce,Metro,Business Administration,Top Public University
63.7,44.56,Pre-Engineering,Metro,Business Administration,Private University
49.54,48.33,Pre-Medical,Urban,Computer Science,Mid-Tier Public University
67.63,71.19,Pre-Engineering,Urban,Business Administration,Mid-Tier Public University
81.57,71.58,Arts/Humanities,Metro,Social Sciences,Private University
76.32,68.17,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
36.46,57.94,Computer Science,Rural,Engineering,Mid-Tier Public University
45.47,57.52,Pre-Engineering,Rural,Business Administration,Mid-Tier Public University
59.74,51.68,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
68.16,79.53,Commerce,Urban,Social Sciences,Mid-Tier Public University
68.14,68.79,Commerce,Urban,Business Administration,Top Public University
46.99,57.67,Pre-Medical,Rural,Engineering,Private University
79.73,73.21,Commerce,Rural,Business Administration,Top Public University
73.03,78.82,Commerce,Urban,Business Administration,Mid-Tier Public University
42.2,49.23,Commerce,Metro,Medicine (MBBS),Private University
51.45,50.65,Pre-Engineering,Urban,Social Sciences,Private University
64.22,58.57,Commerce,Rural,Business Administration,Top Public University
43.01,65.95,Commerce,Urban,Business Administration,Private University
66.35,62.99,Pre-Engineering,Urban,Business Administration,Private University
68.5,82.75,Pre-Engineering,Metro,Computer Science,Mid-Tier Public University
59.35,56.46,Pre-Engineering,Rural,Business Administration,Private University
74.64,66.66,Arts/Humanities,Urban,Engineering,Top Public University
93.21,97.67,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
56.05,35.83,Commerce,Urban,Business Administration,Mid-Tier Public University
73.13,67.22,Commerce,Urban,Computer Science,Mid-Tier Public University
59.2,65.12,Arts/Humanities,Rural,Engineering,Private University
89.1,69.41,Commerce,Rural,Business Administration,Private University
84.86,75.45,Arts/Humanities,Urban,Social Sciences,Top Public University
65.99,64.94,Arts/Humanities,Rural,Computer Science,Mid-Tier Public University
56.74,61.74,Arts/Humanities,Urban,Social Sciences,Private University
77.79,93.33,Pre-Medical,Urban,Medicine (MBBS),Top Public University
65.07,77.68,Commerce,Urban,Social Sciences,Private University
47.54,48.6,Commerce,Urban,Business Administration,Private University
50.9,26.78,Computer Science,Rural,Business Administration,Private University
63.57,66.89,Computer Science,Metro,Business Administration,Mid-Tier Public University
98.71,100.0,Pre-Engineering,Urban,Engineering,Top Public University
82.47,79.72,Pre-Medical,Rural,Medicine (MBBS),Mid-Tier Public University
86.87,89.83,Commerce,Urban,Business Administration,Top Public University
80.23,67.04,Computer Science,Metro,Computer Science,Top Public University
86.83,97.56,Pre-Engineering,Rural,Engineering,Top Public University
88.7,90.0,Pre-Engineering,Rural,Engineering,Top Public University
49.39,33.2,Computer Science,Urban,Medicine (MBBS),Mid-Tier Public University
75.23,74.34,Computer Science,Urban,Computer Science,Top Public University
75.52,83.43,Pre-Engineering,Urban,Engineering,Private University
73.51,73.62,Commerce,Metro,Business Administration,Private University
72.36,70.03,Computer Science,Metro,Engineering,Mid-Tier Public University
33.0,44.56,Computer Science,Metro,Social Sciences,Private University
68.8,69.66,Commerce,Urban,Engineering,Top Public University
45.63,43.1,Arts/Humanities,Metro,Computer Science,Private University
80.43,81.35,Commerce,Metro,Business Administration,Private University
58.24,56.04,Computer Science,Rural,Computer Science,Mid-Tier Public University
61.88,54.94,Computer Science,Metro,Social Sciences,Mid-Tier Public University
65.16,59.93,Computer Science,Metro,Business Administration,Private University
35.24,43.31,Commerce,Metro,Computer Science,Private University
63.38,71.29,Commerce,Rural,Business Administration,Top Public University
46.9,47.82,Commerce,Urban,Computer Science,Mid-Tier Public University
80.35,64.95,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
57.97,58.67,Commerce,Rural,Business Administration,Mid-Tier Public University
48.84,57.6,Commerce,Rural,Business Administration,Mid-Tier Public University
84.58,95.25,Computer Science,Urban,Computer Science,Top Public University
61.46,47.68,Commerce,Rural,Computer Science,Private University
51.31,59.52,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
64.33,72.19,Computer Science,Metro,Business Administration,Mid-Tier Public University
62.97,70.93,Arts/Humanities,Rural,Business Administration,Mid-Tier Public University
69.44,89.3,Commerce,Rural,Social Sciences,Mid-Tier Public University
50.82,13.75,Computer Science,Urban,Medicine (MBBS),Mid-Tier Public University
81.99,73.66,Commerce,Metro,Business Administration,Mid-Tier Public University
70.78,60.2,Pre-Engineering,Metro,Engineering,Top Public University
90.37,100.0,Pre-Engineering,Urban,Engineering,Top Public University
74.39,75.25,Commerce,Urban,Business Administration,Mid-Tier Public University
51.23,67.47,Pre-Engineering,Rural,Social Sciences,Private University
81.89,80.42,Commerce,Urban,Business Administration,Private University
62.1,63.96,Computer Science,Urban,Social Sciences,Private University
67.54,62.93,Computer Science,Rural,Business Administration,Top Public University
33.0,44.56,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
47.17,40.43,Pre-Engineering,Urban,Engineering,Private University
86.62,88.11,Arts/Humanities,Rural,Social Sciences,Top Public University
82.58,92.81,Computer Science,Urban,Computer Science,Top Public University
39.6,36.86,Pre-Medical,Urban,Business Administration,Private University
71.03,52.96,Commerce,Urban,Computer Science,Private University
71.22,53.02,Computer Science,Metro,Computer Science,Private University
84.81,75.84,Pre-Medical,Urban,Medicine (MBBS),Mid-Tier Public University
49.68,71.01,Computer Science,Urban,Social Sciences,Mid-Tier Public University
39.91,32.12,Pre-Engineering,Metro,Business Administration,Private University
70.73,75.99,Computer Science,Urban,Computer Science,Mid-Tier Public University
56.13,68.71,Computer Science,Metro,Engineering,Mid-Tier Public University
57.22,50.8,Commerce,Metro,Social Sciences,Private University
52.61,56.77,Arts/Humanities,Urban,Medicine (MBBS),Private University
84.76,77.26,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
53.14,60.72,Arts/Humanities,Urban,Engineering,Private University
80.63,89.29,Commerce,Metro,Business Administration,Private University
75.42,61.73,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
56.29,58.7,Arts/Humanities,Urban,Business Administration,Private University
80.86,75.35,Arts/Humanities,Metro,Social Sciences,Private University
85.23,93.35,Pre-Engineering,Urban,Engineering,Private University
71.6,84.82,Pre-Medical,Rural,Engineering,Mid-Tier Public University
62.74,63.03,Commerce,Metro,Social Sciences,Private University
77.62,66.61,Pre-Medical,Metro,Medicine (MBBS),Mid-Tier Public University
55.02,44.25,Pre-Medical,Urban,Computer Science,Private University
73.68,87.85,Commerce,Rural,Business Administration,Mid-Tier Public University
89.31,98.94,Commerce,Urban,Business Administration,Private University
46.04,52.55,Computer Science,Rural,Business Administration,Private University
39.1,38.22,Computer Science,Metro,Social Sciences,Private University
77.19,71.36,Commerce,Metro,Business Administration,Mid-Tier Public University
52.96,61.17,Arts/Humanities,Urban,Engineering,Private University
59.37,70.14,Pre-Medical,Metro,Computer Science,Private University
68.48,95.05,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
56.91,68.47,Arts/Humanities,Rural,Business Administration,Mid-Tier Public University
68.09,70.19,Commerce,Metro,Business Administration,Private University
51.43,79.46,Arts/Humanities,Metro,Engineering,Mid-Tier Public University
58.21,33.72,Arts/Humanities,Metro,Social Sciences,Private University
64.9,60.49,Commerce,Urban,Business Administration,Mid-Tier Public University
74.52,88.79,Computer Science,Metro,Social Sciences,Mid-Tier Public University
59.94,61.14,Commerce,Metro,Computer Science,Mid-Tier Public University
71.32,70.77,Pre-Engineering,Urban,Computer Science,Top Public University
75.31,82.37,Commerce,Urban,Business Administration,Mid-Tier Public University
73.79,96.33,Pre-Engineering,Urban,Social Sciences,Top Public University
64.51,64.23,Commerce,Rural,Engineering,Private University
85.84,100.0,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
54.6,48.48,Pre-Engineering,Urban,Engineering,Top Public University
81.99,72.8,Computer Science,Metro,Computer Science,Mid-Tier Public University
81.19,70.0,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
79.65,74.11,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
58.57,39.77,Computer Science,Rural,Social Sciences,Private University
80.76,84.4,Computer Science,Rural,Computer Science,Top Public University
73.5,84.44,Commerce,Rural,Social Sciences,Top Public University
49.47,47.57,Computer Science,Metro,Computer Science,Private University
61.67,50.38,Commerce,Metro,Engineering,Private University
46.6,43.17,Computer Science,Urban,Computer Science,Private University
72.02,74.35,Computer Science,Metro,Business Administration,Top Public University
87.3,73.58,Computer Science,Urban,Computer Science,Top Public University
80.23,80.59,Computer Science,Urban,Computer Science,Mid-Tier Public University
